epoch,step,name,value
3,76,average_valid_loss,0.6806943515936533
3,80,avg_train_loss,0.6919745355844498
3,80,average_valid_loss,0.6831068595250448
3,84,avg_train_loss,0.6928854435682297
3,84,average_valid_loss,0.6852945188681284
3,88,avg_train_loss,0.6783436238765717
3,88,average_valid_loss,0.6806785091757774
3,92,avg_train_loss,0.6582909524440765
3,92,average_valid_loss,0.6837035268545151
3,96,avg_train_loss,0.5958897843956947
3,96,average_valid_loss,0.7175531114141146
4,4,avg_train_loss,0.5086749792098999
4,4,average_valid_loss,0.7614490762352943
4,8,avg_train_loss,0.6225001662969589
4,8,average_valid_loss,0.7258622323473295
4,12,avg_train_loss,0.7066508829593658
4,12,average_valid_loss,0.6868208423256874
4,16,avg_train_loss,0.7002030611038208
4,16,average_valid_loss,0.6807157546281815
